hotel_id,osm_id,osm_type,xotelo_key,wikidata_id,name,name_international,brand,operator,property_type,description,latitude,longitude,elevation_m,geohash,region,formatted_address,house_number,street,neighborhood,city,state,country,country_code,postal_code,stars,user_rating,review_count,price_min,price_max,currency,price_tier,has_wifi,has_pool,has_parking,has_air_conditioning,has_restaurant,has_bar,has_spa,has_gym,is_pet_friendly,is_wheelchair_accessible,smoking_allowed,rooms_count,beds_count,checkin_time,checkout_time,opening_hours,phone,email,website,booking_url,image_url,last_updated_at,distance_meters,data_sources,raw_tags
osm_node_317040754,317040754,node,,,Nirvana Garden Hotel,,,,hotel,,27.7127441,85.3096875,,tuuttkb,kathmandu_thamel,kathmandu_thamel,,,,kathmandu_thamel,,,,,,,,,,USD,mid_range,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,2026-09-14 13:41:39.688515+00:00,,,
osm_node_558561826,558561826,node,,Q7763653,Hotel Shanker,,,,hotel,,27.7189329,85.3199249,,tuuttw0,kathmandu_thamel,kathmandu_thamel,,,,kathmandu_thamel,,,,,4.0,4.3,120.0,127.0,203.2,USD,upscale,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,2026-09-14 13:41:39.689095+00:00,,,
osm_node_575231594,575231594,node,,,Tibet Peace Guest House,,,,guest_house,,27.7179328,85.3088723,,tuuttmb,kathmandu_thamel,kathmandu_thamel,,,,kathmandu_thamel,,,,,,,,25.0,60.0,USD,budget,True,False,False,False,False,False,False,False,False,True,,,,,,,+97714381026,tpghouse@wlink.com.np,https://www.tibetpeace.com/,,,2026-09-14 13:41:39.689169+00:00,,,
osm_node_708987883,708987883,node,,,International Guesthouse,,,,guest_house,,27.716056,85.3080357,,tuuttjx,kathmandu_thamel,kathmandu_thamel,,,,kathmandu_thamel,,,,,,,,25.0,60.0,USD,budget,False,False,False,False,False,False,False,False,False,False,,,,,,,,,http://www.ighouse.com/,,,2026-09-14 13:41:39.689219+00:00,,,
osm_node_845563398,845563398,node,,,Taishan Hotel,HOTEL VIENNA (维也纳 酒店),,,hotel,,27.7113111,85.3117495,,tuuttkd,kathmandu_thamel,"Amrit marg, kathmandu_thamel",,Amrit marg,,kathmandu_thamel,,,,,,,,,,USD,mid_range,True,False,False,False,False,False,False,False,False,False,,,,,,24/7,015902299,,,,,2026-09-14 13:41:39.689281+00:00,,,
osm_node_943246297,943246297,node,,,Pilgrims Guest House,,,,hotel,,27.717619,85.3115799,,tuuttmc,kathmandu_thamel,kathmandu_thamel,,,,kathmandu_thamel,,,,,,,,,,USD,mid_range,False,False,False,False,False,False,False,False,False,True,,,,,,,9841390883,reservation@pilgrimsguesthouse.com,http://www.pilgrimsguesthouse.com/,,,2026-09-14 13:41:39.689339+00:00,,,
osm_node_943246301,943246301,node,,,Avalon House,,,,hotel,,27.7187929,85.3115107,,tuuttq1,kathmandu_thamel,kathmandu_thamel,,,,kathmandu_thamel,,,,,,,,,,USD,mid_range,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,2026-09-14 13:41:39.689388+00:00,,,
osm_node_943246319,943246319,node,,,Kumari Hotel,,,,hotel,,27.7152564,85.3112966,,tuuttm3,kathmandu_thamel,kathmandu_thamel,,,,kathmandu_thamel,,,,,,,,,,USD,mid_range,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,2026-09-14 13:41:39.689437+00:00,,,
osm_node_943246321,943246321,node,,,Hotel Manang,,,,hotel,,27.7177391,85.3101198,,tuuttmb,kathmandu_thamel,kathmandu_thamel,,,,kathmandu_thamel,,,,,,,,,,USD,mid_range,False,False,False,False,False,False,False,False,False,False,,,,,,,9851052685,sales@hotelmanang.com,,,,2026-09-14 13:41:39.689481+00:00,,,
osm_node_943246322,943246322,node,,,Kathmandu Grand Hotel,,,,hotel,"Kathmandu Grand Hotel has become one of the most renowned names in the hospitality industry. Ever since it has been established in 2016, this three star hotel in Kathmandu, Nepal has changed the way moderately priced hotels operated by providing amenities",27.7173404,85.3101843,,tuuttmb,kathmandu_thamel,"P886+X3, Chaksibari Marg, Kathmandu, 44600",P886+X3,Chaksibari Marg,,Kathmandu,,,,44600,,,,,,USD,mid_range,True,False,False,True,False,True,False,False,False,False,,31.0,,,,,+97714701483,kathmandugrandhotel@gmail.com,https://www.kathmandugrandhotel.com,,,2026-09-14 13:41:39.689602+00:00,,,
